STT,Ma so thue,Ten cong ty,Ngay cuoi,Note,,,,,,
1,0305098293,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU HOÀNG MINH,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
2,0305237483,CÔNG TY TNHH THƯƠNG MẠI MÔI TRƯỜNG THẾ PHONG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
3,0102635672,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU VÀ KINH DOANH XĂNG DẦU TOTAL PETRO,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
4,0102595927,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT AERMEC,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
5,0307712504,CÔNG TY TNHH VẬT TƯ Y TẾ THỊNH VƯỢNG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
6,0309306219,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GỖ LÊ PHÚC,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
7,0309941556,CÔNG TY TNHH PHÁT TRIỂN ĐỊA ỐC ĐẦU TƯ XÂY DỰNG AN BẢO KHANG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
8,0310341715,CÔNG TY TNHH THIẾT KẾ ĐẦU TƯ XÂY DỰNG SAIGONTECHNOLOGY,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
9,0311314087,CÔNG TY TNHH DỊCH VỤ CƠ ĐIỆN LẠNH HÙNG HẢI,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
10,0311715339,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VƯƠNG BÌNH,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
12,0311901085,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN CHUYỂN SƠN HÀ,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
13,0312051137,CÔNG TY CỔ PHẦN TƯ VẤN THIẾT KẾ VÀ XÂY DỰNG AN PHONG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
14,0312051031,CÔNG TY TNHH KINH DOANH VẬT LIỆU XÂY DỰNG ĐỒNG TIẾN,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
15,0312180742,CÔNG TY TNHH KHAI THÁC SẢN XUẤT VÀ KINH DOANH SẮT THÉP MAVYCO,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
16,0106125506,CÔNG TY TNHH DỊCH VỤ DU LỊCH KHÁCH SẠN NHÀ HÀNG TRỐNG ĐỒNG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
17,0312280881,CÔNG TY TNHH KINH DOANH DỊCH VỤ VẬN TẢI NAM TRUNG BỘ,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
18,0312442405,CÔNG TY TNHH XNK TM DV TRƯỜNG HƯNG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
